event_id,historical_symbol,first_trade_ts_utc,minute_ts_utc,relative_minute,equity_trade_count,share_volume,log_share_volume,dollar_volume,share_turnover,option_trade_count,option_contract_volume,log_option_volume,option_call_volume,option_put_volume,quoted_spread_pct,effective_spread_pct,realized_spread_5m_pct,price_impact_5m_pct,absolute_order_imbalance,order_flow_source,research_use_only
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:58:00.000Z,-5,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:59:00.000Z,-4,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:00:00.000Z,-3,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:01:00.000Z,-2,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:02:00.000Z,-1,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:03:00.000Z,0,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:04:00.000Z,1,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:05:00.000Z,2,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:06:00.000Z,3,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:07:00.000Z,4,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:08:00.000Z,5,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:09:00.000Z,6,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:10:00.000Z,7,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:11:00.000Z,8,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:12:00.000Z,9,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:13:00.000Z,10,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:14:00.000Z,11,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:15:00.000Z,12,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:16:00.000Z,13,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:17:00.000Z,14,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:18:00.000Z,15,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:19:00.000Z,16,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:20:00.000Z,17,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:21:00.000Z,18,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:22:00.000Z,19,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:23:00.000Z,20,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:24:00.000Z,21,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:25:00.000Z,22,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T20:26:00.000Z,23,,,,,,,,,,,,,,,,,1
