historical_symbol,trade_date,roles,event_ids,interval_count,window_intervals_local,requested_regular_session_minutes,quote_extension_intervals_local,requested_quote_minutes,require_equity_trades,require_equity_quotes,require_option_trades_full_replication,require_option_quotes_full_replication,itch_requirement,shares_outstanding_required,research_use_only
OSK,2015-03-31,baseline,HEJFE-CFA461ED8BCCB889,1,14:59-15:59,61,14:59-16:00,62,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
PBI,2015-03-31,baseline,HEJFE-4291CBF555CED6A9,1,14:17-15:17,61,14:17-15:22,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
POWI,2015-03-31,baseline,HEJFE-8A0517D50278EAE4,1,14:53-15:53,61,14:53-15:58,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ROG,2015-03-31,baseline,HEJFE-33FC1D00348D7C59,1,14:59-15:59,61,14:59-16:00,62,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ROVI,2015-03-31,baseline,HEJFE-809E53BB4081FBAE,1,14:18-15:18,61,14:18-15:23,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SGEN,2015-03-31,baseline,HEJFE-D6AE4ACB99958A73,1,13:48-14:48,61,13:48-14:53,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SKX,2015-03-31,baseline,HEJFE-F170013A9B3F85E2,1,14:54-15:54,61,14:54-15:59,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
SNX,2015-03-31,event,HEJFE-238D29A9B584466D,1,15:24-16:00,37,15:24-16:00,37,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
TXT,2015-03-31,baseline,HEJFE-B5A8A297D14CD19D,1,15:04-16:00,57,15:04-16:00,57,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ACHC,2015-04-01,baseline,HEJFE-6F0A7632D9B4FFF6,1,14:05-15:05,61,14:05-15:10,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ALSN,2015-04-01,baseline,HEJFE-87DDC59E7BB99A84,1,14:47-15:47,61,14:47-15:52,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
AMP,2015-04-01,baseline,HEJFE-5ED55A2EAC950921,1,14:52-15:52,61,14:52-15:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CACI,2015-04-01,baseline,HEJFE-B9C8B3D0EF3DCB5E,1,14:24-15:24,61,14:24-15:29,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CAKE,2015-04-01,baseline,HEJFE-760E36DA94752F1E,1,13:52-14:52,61,13:52-14:57,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CBT,2015-04-01,baseline,HEJFE-9DF82252ED78E41F,1,13:03-14:03,61,13:03-14:08,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CLD,2015-04-01,baseline,HEJFE-DB1E964E02F5921F,1,15:03-16:00,58,15:03-16:00,58,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CMP,2015-04-01,baseline,HEJFE-5408AADD0CBD54E8,1,15:16-16:00,45,15:16-16:00,45,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
COL,2015-04-01,baseline,HEJFE-791693865584F9CB,1,13:59-14:59,61,13:59-15:04,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
COLM,2015-04-01,baseline,HEJFE-0BCEF81B6C0111FB,1,14:43-15:43,61,14:43-15:48,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CR,2015-04-01,baseline,HEJFE-E1B57B6A71B06A7F,1,15:09-16:00,52,15:09-16:00,52,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
CREE,2015-04-01,baseline,HEJFE-D35C7804C2F5326C,1,14:59-15:59,61,14:59-16:00,62,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
FLT,2015-04-01,baseline,HEJFE-AF58BD8CAE4E8D1C,1,14:58-15:58,61,14:58-16:00,63,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
ILMN,2015-04-01,baseline,HEJFE-45559DD90D876D39,1,14:18-15:18,61,14:18-15:23,66,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
INT,2015-04-01,baseline,HEJFE-D51AC412EDF93AA8,1,15:10-16:00,51,15:10-16:00,51,1,1,1,1,conditional_on_point_in_time_nasdaq_listing,1,1
