historical_symbol,trade_date,shares_outstanding,resolution_status,source_id,source_family,source_reference,fact_date,available_at,staleness_days,research_use_only
CAT,2011-12-30,,unresolved,,,,,,,1
CB,2011-12-30,,unresolved,,,,,,,1
DEST,2011-12-30,,unresolved,,,,,,,1
HAE,2011-12-30,,unresolved,,,,,,,1
HON,2011-12-30,,unresolved,,,,,,,1
IBKC,2011-12-30,,unresolved,,,,,,,1
IDXX,2011-12-30,,unresolved,,,,,,,1
IGT,2011-12-30,,unresolved,,,,,,,1
ISSI,2011-12-30,,unresolved,,,,,,,1
MDP,2011-12-30,,unresolved,,,,,,,1
MSCC,2011-12-30,,unresolved,,,,,,,1
MUSA,2011-12-30,,unresolved,,,,,,,1
MXIM,2011-12-30,,unresolved,,,,,,,1
NVR,2011-12-30,,unresolved,,,,,,,1
RES,2011-12-30,,unresolved,,,,,,,1
ROL,2011-12-30,,unresolved,,,,,,,1
SYMM,2011-12-30,,unresolved,,,,,,,1
VAR,2011-12-30,,unresolved,,,,,,,1
WRLD,2011-12-30,,unresolved,,,,,,,1
AF,2012-01-03,,unresolved,,,,,,,1
BA,2012-01-03,,unresolved,,,,,,,1
CA,2012-01-03,,unresolved,,,,,,,1
CAT,2012-01-03,,unresolved,,,,,,,1
CB,2012-01-03,,unresolved,,,,,,,1
DEST,2012-01-03,,unresolved,,,,,,,1
HAE,2012-01-03,,unresolved,,,,,,,1
HON,2012-01-03,,unresolved,,,,,,,1
IBKC,2012-01-03,,unresolved,,,,,,,1
IDXX,2012-01-03,,unresolved,,,,,,,1
IGT,2012-01-03,,unresolved,,,,,,,1
ISSI,2012-01-03,,unresolved,,,,,,,1
MDP,2012-01-03,,unresolved,,,,,,,1
MSCC,2012-01-03,,unresolved,,,,,,,1
MUSA,2012-01-03,,unresolved,,,,,,,1
MXIM,2012-01-03,,unresolved,,,,,,,1
NVR,2012-01-03,,unresolved,,,,,,,1
RES,2012-01-03,,unresolved,,,,,,,1
ROL,2012-01-03,,unresolved,,,,,,,1
SYMM,2012-01-03,,unresolved,,,,,,,1
VAR,2012-01-03,,unresolved,,,,,,,1
WRLD,2012-01-03,,unresolved,,,,,,,1
AF,2012-01-04,,unresolved,,,,,,,1
BA,2012-01-04,,unresolved,,,,,,,1
CA,2012-01-04,,unresolved,,,,,,,1
CAT,2012-01-04,,unresolved,,,,,,,1
CB,2012-01-04,,unresolved,,,,,,,1
