event_id,permno,gvkey,historical_symbol,first_documented_illicit_trade_ts,public_announcement_ts,information_asymmetry_seconds,hacked_flag,sec_documented_trade_flag,first_trade_timestamp_source,announcement_timestamp_source,timestamp_confidence,research_use_only
HEJFE-8EAA8616B1750B40,75654,16188,CGNX,2015-05-04 15:09:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-0B87675BF7BEDBCA,75828,16721,EA,2015-01-27 15:48:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-B7EFA7CF95262283,75854,16597,LSCC,2013-04-18 14:24:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-CCC7747CFBDE893E,76695,24113,PNRA,2013-04-23 14:25:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-600696AB8463FFD8,76695,24113,PNRA,2013-07-23 15:11:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-8167467EBF64AABE,76695,24113,PNRA,2013-10-22 15:20:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-4E643D38FFB3016E,76695,24113,PNRA,2015-02-11 14:58:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-99CCB9D9BECE4E72,76709,24197,IDXX,2012-01-26 13:47:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-13FC93F4D143B268,76837,24021,HAE,2012-01-27 15:55:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-DA7595FDF91D8CBC,77114,24725,WRLD,2012-01-24 15:53:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-C4D39B22234902F2,77274,24856,GILD,2015-02-03 15:50:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
